visit_id,visit_date,customer_id,sales_id,van_id,successful_visit,transaction_amount,notes
VIS_DMM_000001,2025-06-03,CUS_DMM_0001,SAL_DMM_001,VAN_DMM_001,True,6752.95,Full order confirmed.
VIS_DMM_000878,2025-06-03,CUS_DMM_0019,SAL_DMM_003,VAN_DMM_003,False,0.0,Stock sufficient; no order needed.
VIS_DMM_000927,2025-06-03,CUS_DMM_0020,SAL_DMM_002,VAN_DMM_002,True,3116.21,Order placed successfully.
VIS_DMM_001074,2025-06-03,CUS_DMM_0023,SAL_DMM_003,VAN_DMM_003,False,0.0,Shop closed at time of visit.
VIS_DMM_001172,2025-06-03,CUS_DMM_0025,SAL_DMM_003,VAN_DMM_003,True,3043.45,Seasonal top-up order.
VIS_DMM_001463,2025-06-03,CUS_DMM_0031,SAL_DMM_002,VAN_DMM_002,False,0.0,Competitor promotion; no order.
VIS_DMM_002142,2025-06-03,CUS_DMM_0045,SAL_DMM_002,VAN_DMM_002,True,1194.36,Client satisfied with delivery.
VIS_DMM_002191,2025-06-03,CUS_DMM_0046,SAL_DMM_002,VAN_DMM_002,True,859.11,Client satisfied with delivery.
VIS_DMM_002435,2025-06-03,CUS_DMM_0051,SAL_DMM_003,VAN_DMM_003,False,0.0,Stock sufficient; no order needed.
VIS_DMM_002581,2025-06-03,CUS_DMM_0054,SAL_DMM_003,VAN_DMM_003,False,0.0,Cold-chain issue; order deferred.
VIS_DMM_002630,2025-06-03,CUS_DMM_0055,SAL_DMM_002,VAN_DMM_002,True,932.21,Repeat order; no issues.
VIS_DMM_002970,2025-06-03,CUS_DMM_0062,SAL_DMM_002,VAN_DMM_002,True,2647.98,Client satisfied with delivery.
VIS_DMM_003264,2025-06-03,CUS_DMM_0068,SAL_DMM_003,VAN_DMM_003,True,4722.24,New SKUs added to order.
VIS_DMM_003361,2025-06-03,CUS_DMM_0070,SAL_DMM_003,VAN_DMM_003,True,550.23,Full order confirmed.
VIS_DMM_003507,2025-06-03,CUS_DMM_0073,SAL_DMM_001,VAN_DMM_001,True,287.47,Repeat order; no issues.
VIS_DMM_004334,2025-06-03,CUS_DMM_0090,SAL_DMM_002,VAN_DMM_002,True,3794.35,Paid on delivery.
VIS_DMM_004529,2025-06-03,CUS_DMM_0094,SAL_DMM_002,VAN_DMM_002,True,944.68,Repeat order; no issues.
VIS_DMM_004725,2025-06-03,CUS_DMM_0098,SAL_DMM_002,VAN_DMM_002,True,3578.94,New SKUs added to order.
VIS_JED_000635,2025-06-03,CUS_JED_0014,SAL_JED_003,VAN_JED_003,True,1108.77,Full order confirmed.
VIS_JED_000684,2025-06-03,CUS_JED_0015,SAL_JED_002,VAN_JED_002,True,3405.12,New SKUs added to order.
VIS_JED_001123,2025-06-03,CUS_JED_0024,SAL_JED_003,VAN_JED_003,False,0.0,Payment overdue; order withheld.
VIS_JED_001464,2025-06-03,CUS_JED_0031,SAL_JED_003,VAN_JED_003,True,3689.71,Invoice issued.
VIS_JED_001513,2025-06-03,CUS_JED_0032,SAL_JED_002,VAN_JED_002,False,0.0,No decision-maker present.
