visit_id,visit_date,customer_id,sales_id,van_id,successful_visit,transaction_amount,notes
VIS_DMM_000031,2026-02-28,CUS_DMM_0004,SAL_DMM_003,VAN_DMM_003,True,364.11,Promotional items ordered.
VIS_DMM_000092,2026-02-28,CUS_DMM_0010,SAL_DMM_001,VAN_DMM_001,True,9061.63,Order placed successfully.
VIS_DMM_000125,2026-02-28,CUS_DMM_0013,SAL_DMM_001,VAN_DMM_001,True,555.18,Promotional items ordered.
VIS_DMM_000176,2026-02-28,CUS_DMM_0018,SAL_DMM_002,VAN_DMM_002,True,676.11,Promotional items ordered.
VIS_DMM_000359,2026-02-28,CUS_DMM_0036,SAL_DMM_003,VAN_DMM_003,True,4161.78,Invoice issued.
VIS_DMM_000370,2026-02-28,CUS_DMM_0037,SAL_DMM_003,VAN_DMM_003,True,571.21,Full order confirmed.
VIS_DMM_000432,2026-02-28,CUS_DMM_0043,SAL_DMM_002,VAN_DMM_002,True,3381.69,Paid on delivery.
VIS_DMM_000533,2026-02-28,CUS_DMM_0053,SAL_DMM_001,VAN_DMM_001,True,3371.24,Repeat order; no issues.
VIS_DMM_000636,2026-02-28,CUS_DMM_0063,SAL_DMM_002,VAN_DMM_002,True,917.53,Paid on delivery.
VIS_DMM_000720,2026-02-28,CUS_DMM_0071,SAL_DMM_002,VAN_DMM_002,True,12620.76,Client satisfied with delivery.
VIS_DMM_000751,2026-02-28,CUS_DMM_0074,SAL_DMM_003,VAN_DMM_003,False,0.0,Customer requested reschedule.
VIS_DMM_000905,2026-02-28,CUS_DMM_0089,SAL_DMM_001,VAN_DMM_001,True,291.05,Full order confirmed.
VIS_DMM_000944,2026-02-28,CUS_DMM_0093,SAL_DMM_002,VAN_DMM_002,True,9402.51,Seasonal top-up order.
VIS_DMM_000965,2026-02-28,CUS_DMM_0095,SAL_DMM_002,VAN_DMM_002,True,1622.91,New SKUs added to order.
VIS_JED_000044,2026-02-28,CUS_JED_0005,SAL_JED_003,VAN_JED_003,False,0.0,Stock sufficient; no order needed.
