visit_id,visit_date,customer_id,sales_id,van_id,cold_truck_required,rfm_segment,rfm_quartile,successful_visit,transaction_amount,notes
VIS_DMM_000114,2025-02-13,CUS_DMM_0004,SAL_DMM_001,VAN_DMM_001,True,High,3,True,378.15,Promotional items ordered.
VIS_DMM_000292,2025-02-13,CUS_DMM_0008,SAL_DMM_003,VAN_DMM_003,False,High,4,True,9444.79,Promotional items ordered.
VIS_DMM_000676,2025-02-13,CUS_DMM_0016,SAL_DMM_003,VAN_DMM_003,False,High,4,True,7813.41,Repeat order; no issues.
VIS_DMM_000804,2025-02-13,CUS_DMM_0018,SAL_DMM_001,VAN_DMM_001,True,Low,1,False,0.0,Credit limit exceeded.
VIS_DMM_001384,2025-02-13,CUS_DMM_0031,SAL_DMM_002,VAN_DMM_002,False,High,4,False,0.0,Customer not available.
VIS_DMM_002287,2025-02-13,CUS_DMM_0048,SAL_DMM_003,VAN_DMM_003,False,Medium,2,True,526.06,Client satisfied with delivery.
VIS_DMM_002802,2025-02-13,CUS_DMM_0058,SAL_DMM_003,VAN_DMM_003,False,Medium,2,True,850.56,Client satisfied with delivery.
VIS_DMM_003134,2025-02-13,CUS_DMM_0066,SAL_DMM_001,VAN_DMM_001,True,Low,1,True,11701.93,Invoice issued.
VIS_DMM_003678,2025-02-13,CUS_DMM_0077,SAL_DMM_002,VAN_DMM_002,False,Medium,2,True,660.81,Order placed successfully.
VIS_DMM_004425,2025-02-13,CUS_DMM_0092,SAL_DMM_001,VAN_DMM_001,False,Low,2,False,0.0,Stock sufficient; no order needed.
VIS_JED_000061,2025-02-13,CUS_JED_0003,SAL_JED_003,VAN_JED_003,False,Medium,2,False,0.0,Competitor promotion; no order.
VIS_JED_000171,2025-02-13,CUS_JED_0006,SAL_JED_002,VAN_JED_002,False,High,4,True,781.6,Promotional items ordered.
VIS_JED_000741,2025-02-13,CUS_JED_0017,SAL_JED_002,VAN_JED_002,False,High,4,True,4162.88,Promotional items ordered.
VIS_JED_000861,2025-02-13,CUS_JED_0019,SAL_JED_001,VAN_JED_001,False,High,4,True,4234.6,Repeat order; no issues.
VIS_JED_001182,2025-02-13,CUS_JED_0027,SAL_JED_003,VAN_JED_003,False,High,4,False,0.0,Order cancelled by customer.
VIS_JED_001311,2025-02-13,CUS_JED_0029,SAL_JED_002,VAN_JED_002,False,Medium,2,True,2445.2,Invoice issued.
VIS_JED_001895,2025-02-13,CUS_JED_0042,SAL_JED_003,VAN_JED_003,False,High,4,False,0.0,Stock sufficient; no order needed.
VIS_JED_002279,2025-02-13,CUS_JED_0050,SAL_JED_003,VAN_JED_003,False,High,3,True,3913.76,Promotional items ordered.
VIS_JED_002388,2025-02-13,CUS_JED_0052,SAL_JED_001,VAN_JED_001,False,Low,1,True,977.31,Full order confirmed.
VIS_JED_002637,2025-02-13,CUS_JED_0057,SAL_JED_001,VAN_JED_001,False,High,4,True,2866.39,Client satisfied with delivery.
VIS_JED_002970,2025-02-13,CUS_JED_0064,SAL_JED_003,VAN_JED_003,False,High,4,False,0.0,Order cancelled by customer.
VIS_JED_003412,2025-02-13,CUS_JED_0072,SAL_JED_001,VAN_JED_001,True,Medium,2,False,0.0,Payment overdue; order withheld.
VIS_JED_003510,2025-02-13,CUS_JED_0075,SAL_JED_003,VAN_JED_003,False,Low,1,False,0.0,Cold-chain issue; order deferred.
VIS_JED_003831,2025-02-13,CUS_JED_0082,SAL_JED_003,VAN_JED_003,False,Medium,3,False,0.0,Payment overdue; order withheld.
VIS_JED_004573,2025-02-13,CUS_JED_0098,SAL_JED_001,VAN_JED_001,False,Medium,3,True,1308.63,Client satisfied with delivery.
VIS_RUH_000001,2025-02-13,CUS_RUH_0001,SAL_RUH_001,VAN_RUH_001,False,High,3,True,3808.88,Seasonal top-up order.
VIS_RUH_000546,2025-02-13,CUS_RUH_0011,SAL_RUH_002,VAN_RUH_002,False,High,3,True,10760.71,Seasonal top-up order.
VIS_RUH_001062,2025-02-13,CUS_RUH_0021,SAL_RUH_001,VAN_RUH_001,False,High,4,True,9319.98,Client satisfied with delivery.
VIS_RUH_001267,2025-02-13,CUS_RUH_0025,SAL_RUH_002,VAN_RUH_002,False,Low,2,True,724.52,Paid on delivery.
VIS_RUH_002693,2025-02-13,CUS_RUH_0057,SAL_RUH_001,VAN_RUH_001,False,High,4,True,12281.13,Order placed successfully.
VIS_RUH_003161,2025-02-13,CUS_RUH_0068,SAL_RUH_002,VAN_RUH_002,False,Medium,2,False,0.0,Customer requested reschedule.
VIS_RUH_003197,2025-02-13,CUS_RUH_0069,SAL_RUH_003,VAN_RUH_003,False,Medium,2,True,794.44,Full order confirmed.
VIS_RUH_003242,2025-02-13,CUS_RUH_0070,SAL_RUH_002,VAN_RUH_002,False,Medium,3,True,21794.72,Client satisfied with delivery.
VIS_RUH_003465,2025-02-13,CUS_RUH_0075,SAL_RUH_002,VAN_RUH_002,False,Low,2,False,0.0,Customer requested reschedule.
VIS_RUH_003865,2025-02-13,CUS_RUH_0082,SAL_RUH_001,VAN_RUH_001,False,High,4,True,12821.59,Order placed successfully.
VIS_RUH_003930,2025-02-13,CUS_RUH_0083,SAL_RUH_002,VAN_RUH_002,False,Low,1,False,0.0,Cold-chain issue; order deferred.
VIS_RUH_004088,2025-02-13,CUS_RUH_0087,SAL_RUH_001,VAN_RUH_001,False,Low,1,False,0.0,Competitor promotion; no order.
VIS_RUH_004112,2025-02-13,CUS_RUH_0088,SAL_RUH_003,VAN_RUH_003,False,Medium,3,False,0.0,Shop closed at time of visit.
VIS_RUH_004227,2025-02-13,CUS_RUH_0091,SAL_RUH_001,VAN_RUH_001,False,Medium,2,False,0.0,Order cancelled by customer.
VIS_DMM_001258,2025-02-15,CUS_DMM_0028,SAL_DMM_001,VAN_DMM_001,True,Medium,3,False,0.0,Competitor promotion; no order.
VIS_DMM_002122,2025-02-15,CUS_DMM_0045,SAL_DMM_002,VAN_DMM_002,False,High,4,True,1026.1,Full order confirmed.
VIS_DMM_002839,2025-02-15,CUS_DMM_0059,SAL_DMM_001,VAN_DMM_001,False,Medium,2,False,0.0,Payment overdue; order withheld.
VIS_DMM_003504,2025-02-15,CUS_DMM_0074,SAL_DMM_003,VAN_DMM_003,False,High,4,True,21103.97,Invoice issued.
VIS_DMM_003569,2025-02-15,CUS_DMM_0075,SAL_DMM_003,VAN_DMM_003,False,High,3,False,0.0,Stock sufficient; no order needed.
VIS_DMM_003793,2025-02-15,CUS_DMM_0079,SAL_DMM_001,VAN_DMM_001,True,High,4,False,0.0,Stock sufficient; no order needed.
VIS_DMM_003906,2025-02-15,CUS_DMM_0081,SAL_DMM_001,VAN_DMM_001,False,Medium,3,True,1112.48,Standard visit; order processed.
VIS_DMM_004255,2025-02-15,CUS_DMM_0089,SAL_DMM_003,VAN_DMM_003,False,High,3,True,10568.38,New SKUs added to order.
VIS_DMM_004311,2025-02-15,CUS_DMM_0090,SAL_DMM_003,VAN_DMM_003,False,High,4,True,12191.67,Full order confirmed.
VIS_JED_000578,2025-02-15,CUS_JED_0014,SAL_JED_003,VAN_JED_003,False,High,4,True,467.0,Repeat order; no issues.
VIS_JED_000682,2025-02-15,CUS_JED_0016,SAL_JED_001,VAN_JED_001,False,Medium,3,False,0.0,Payment overdue; order withheld.
VIS_JED_000952,2025-02-15,CUS_JED_0021,SAL_JED_002,VAN_JED_002,False,Medium,3,True,823.59,Client satisfied with delivery.
VIS_JED_002050,2025-02-15,CUS_JED_0046,SAL_JED_001,VAN_JED_001,True,High,4,True,16554.07,Client satisfied with delivery.
VIS_JED_002702,2025-02-15,CUS_JED_0058,SAL_JED_003,VAN_JED_003,False,Medium,3,True,2305.04,Promotional items ordered.
