visit_id,visit_date,customer_id,sales_id,van_id,cold_truck_required,rfm_segment,rfm_quartile,successful_visit,transaction_amount,notes
VIS_DMM_000001,2025-02-16,CUS_DMM_0001,SAL_DMM_001,VAN_DMM_001,False,Low,1,False,0.0,No decision-maker present.
VIS_DMM_000429,2025-02-16,CUS_DMM_0011,SAL_DMM_001,VAN_DMM_001,True,Medium,3,True,509.7,Repeat order; no issues.
VIS_DMM_000487,2025-02-16,CUS_DMM_0012,SAL_DMM_001,VAN_DMM_001,False,High,4,True,5221.04,Invoice issued.
VIS_DMM_000584,2025-02-16,CUS_DMM_0014,SAL_DMM_001,VAN_DMM_001,True,High,4,True,1016.29,Paid on delivery.
VIS_DMM_001115,2025-02-16,CUS_DMM_0024,SAL_DMM_001,VAN_DMM_001,True,Low,1,False,0.0,Payment overdue; order withheld.
VIS_DMM_001193,2025-02-16,CUS_DMM_0026,SAL_DMM_001,VAN_DMM_001,True,Medium,3,True,2165.81,Invoice issued.
VIS_DMM_001396,2025-02-16,CUS_DMM_0030,SAL_DMM_001,VAN_DMM_001,False,Medium,2,True,3876.74,Invoice issued.
VIS_DMM_001637,2025-02-16,CUS_DMM_0035,SAL_DMM_001,VAN_DMM_001,False,High,3,True,352.2,Repeat order; no issues.
VIS_DMM_002099,2025-02-16,CUS_DMM_0044,SAL_DMM_001,VAN_DMM_001,False,Low,1,False,0.0,Credit limit exceeded.
VIS_DMM_002717,2025-02-16,CUS_DMM_0057,SAL_DMM_002,VAN_DMM_002,False,High,4,True,10230.67,Repeat order; no issues.
VIS_DMM_002847,2025-02-16,CUS_DMM_0060,SAL_DMM_001,VAN_DMM_001,True,Medium,2,False,0.0,Shop closed at time of visit.
VIS_DMM_003097,2025-02-16,CUS_DMM_0065,SAL_DMM_001,VAN_DMM_001,True,Medium,3,False,0.0,Order cancelled by customer.
VIS_DMM_003961,2025-02-16,CUS_DMM_0083,SAL_DMM_003,VAN_DMM_003,False,Low,1,True,775.16,Invoice issued.
VIS_DMM_004504,2025-02-16,CUS_DMM_0096,SAL_DMM_001,VAN_DMM_001,True,High,4,True,13732.38,New SKUs added to order.
VIS_JED_000429,2025-02-16,CUS_JED_0010,SAL_JED_002,VAN_JED_002,False,Low,1,True,1047.75,Invoice issued.
VIS_JED_000549,2025-02-16,CUS_JED_0013,SAL_JED_003,VAN_JED_003,False,High,4,True,15863.06,Repeat order; no issues.
VIS_JED_001292,2025-02-16,CUS_JED_0030,SAL_JED_002,VAN_JED_002,False,High,4,True,3376.47,Standard visit; order processed.
VIS_JED_001476,2025-02-16,CUS_JED_0033,SAL_JED_002,VAN_JED_002,False,High,4,True,3037.2,Promotional items ordered.
VIS_JED_001685,2025-02-16,CUS_JED_0038,SAL_JED_001,VAN_JED_001,True,Medium,2,True,243.04,Full order confirmed.
VIS_JED_001937,2025-02-16,CUS_JED_0043,SAL_JED_002,VAN_JED_002,False,Medium,3,False,0.0,Cold-chain issue; order deferred.
VIS_JED_002260,2025-02-16,CUS_JED_0049,SAL_JED_001,VAN_JED_001,False,Medium,3,True,4114.82,Full order confirmed.
VIS_JED_002535,2025-02-16,CUS_JED_0055,SAL_JED_001,VAN_JED_001,True,High,4,True,16588.52,Paid on delivery.
VIS_JED_003165,2025-02-16,CUS_JED_0066,SAL_JED_001,VAN_JED_001,False,Medium,2,True,1307.86,Standard visit; order processed.
VIS_JED_004519,2025-02-16,CUS_JED_0095,SAL_JED_001,VAN_JED_001,False,Low,2,True,4231.1,Client satisfied with delivery.
VIS_JED_004590,2025-02-16,CUS_JED_0097,SAL_JED_002,VAN_JED_002,False,Low,1,False,0.0,Competitor promotion; no order.
VIS_RUH_000591,2025-02-16,CUS_RUH_0012,SAL_RUH_003,VAN_RUH_003,False,Medium,3,True,811.16,Seasonal top-up order.
VIS_RUH_000831,2025-02-16,CUS_RUH_0017,SAL_RUH_002,VAN_RUH_002,True,High,4,True,13062.23,Invoice issued.
VIS_RUH_001555,2025-02-16,CUS_RUH_0031,SAL_RUH_003,VAN_RUH_003,False,Medium,3,True,4683.69,Order placed successfully.
VIS_RUH_001823,2025-02-16,CUS_RUH_0037,SAL_RUH_002,VAN_RUH_002,False,Medium,3,False,0.0,Stock sufficient; no order needed.
VIS_RUH_002234,2025-02-16,CUS_RUH_0046,SAL_RUH_003,VAN_RUH_003,False,High,4,True,9329.92,Client satisfied with delivery.
