van_id,registration_no,cold_truck_enabled,territory_id,active_status
VAN_RUH_001,RUH 3677,True,TER_RUH,True
VAN_RUH_002,RUI 4598,False,TER_RUH,True
VAN_RUH_003,RUY 1916,False,TER_RUH,True
VAN_RUH_004,RUB 6168,False,TER_RUH,True
VAN_RUH_005,RUC 4456,False,TER_RUH,True
VAN_JED_001,JES 6155,True,TER_JED,True
VAN_JED_002,JEP 7482,False,TER_JED,True
VAN_JED_003,JEU 8517,False,TER_JED,True
VAN_JED_004,JEE 5040,False,TER_JED,True
VAN_JED_005,JER 5304,False,TER_JED,True
VAN_DMM_001,DMN 7543,True,TER_DMM,True
VAN_DMM_002,DME 9348,False,TER_DMM,True
VAN_DMM_003,DMY 1771,False,TER_DMM,True
VAN_DMM_004,DME 3621,False,TER_DMM,True
VAN_DMM_005,DMN 2040,False,TER_DMM,True
