visit_id,visit_date,customer_id,sales_id,van_id,cold_truck_required,rfm_segment,rfm_quartile,successful_visit,transaction_amount,notes
VIS_DMM_000195,2025-02-15,CUS_DMM_0006,SAL_DMM_003,VAN_DMM_003,False,Low,1,False,0.0,Credit limit exceeded.
VIS_DMM_002071,2025-02-15,CUS_DMM_0045,SAL_DMM_002,VAN_DMM_002,False,High,4,True,917.09,Client satisfied with delivery.
VIS_DMM_002801,2025-02-15,CUS_DMM_0059,SAL_DMM_001,VAN_DMM_001,False,Low,1,True,592.48,Full order confirmed.
VIS_DMM_003497,2025-02-15,CUS_DMM_0074,SAL_DMM_002,VAN_DMM_002,False,Medium,2,True,14756.5,Promotional items ordered.
VIS_DMM_004199,2025-02-15,CUS_DMM_0089,SAL_DMM_001,VAN_DMM_001,False,High,4,True,15210.12,Seasonal top-up order.
VIS_DMM_004264,2025-02-15,CUS_DMM_0090,SAL_DMM_001,VAN_DMM_001,False,High,4,True,9973.83,Full order confirmed.
VIS_JED_000670,2025-02-15,CUS_JED_0016,SAL_JED_002,VAN_JED_002,False,High,4,True,2100.25,Promotional items ordered.
VIS_JED_000896,2025-02-15,CUS_JED_0021,SAL_JED_001,VAN_JED_001,False,Medium,2,False,0.0,Credit limit exceeded.
VIS_JED_002037,2025-02-15,CUS_JED_0046,SAL_JED_001,VAN_JED_001,True,High,4,False,0.0,No decision-maker present.
VIS_JED_002721,2025-02-15,CUS_JED_0058,SAL_JED_001,VAN_JED_001,False,Medium,2,False,0.0,Credit limit exceeded.
VIS_JED_002819,2025-02-15,CUS_JED_0060,SAL_JED_002,VAN_JED_002,False,Medium,3,True,1641.99,Standard visit; order processed.
VIS_JED_003675,2025-02-15,CUS_JED_0078,SAL_JED_003,VAN_JED_003,False,High,4,False,0.0,No decision-maker present.
VIS_JED_004227,2025-02-15,CUS_JED_0088,SAL_JED_001,VAN_JED_001,False,Low,1,True,688.86,Paid on delivery.
VIS_RUH_000260,2025-02-15,CUS_RUH_0006,SAL_RUH_003,VAN_RUH_003,False,Low,1,True,1514.04,Full order confirmed.
VIS_RUH_000296,2025-02-15,CUS_RUH_0007,SAL_RUH_003,VAN_RUH_003,False,Low,2,True,5180.21,Seasonal top-up order.
VIS_RUH_001067,2025-02-15,CUS_RUH_0022,SAL_RUH_002,VAN_RUH_002,False,Medium,2,True,229.59,Paid on delivery.
