customer_id,shop_name,gps_lat,gps_lng,locality,territory_id,customer_rating,review_rating,shop_category,cold_truck_required,volume_tier,payment_type,credit_limit,outstanding_balance,lifecycle_state,acquisition_date,preferred_visit_day,preferred_order_window
CUS_RUH_0001,Al Riyadh Hittin Restaurant,24.769194,46.600485,Hittin,TER_RUH,5,4.4,Restaurant,False,MED,cash,0.0,0.0,Active,2023-10-14,Tuesday,Midday
CUS_RUH_0002,Al Shehri Mini Market,24.728651,46.671697,Olaya,TER_RUH,2,3.9,Mini Market,False,HIGH,credit,95539.22,27723.36,New,2021-10-31,Tuesday,Afternoon
CUS_RUH_0003,Al Qahtani Trading Hotel Kitchen,24.729284,46.684113,Olaya,TER_RUH,5,3.7,Hotel Kitchen,False,HIGH,cash,0.0,0.0,Active,2026-04-04,Tuesday,Morning
CUS_RUH_0004,Al Qahtani Trading Meat Shop,24.67371,46.729357,Al Malaz,TER_RUH,5,3.7,Butchery,True,LOW,cash,0.0,0.0,Active,2023-01-27,Sunday,Morning
CUS_RUH_0005,Al Shammari Food Store,24.766325,46.578472,Hittin,TER_RUH,2,3.1,Grocery,False,LOW,cash,0.0,0.0,New,2021-11-10,Sunday,Morning
CUS_RUH_0006,Al Safa Fresh Grill,24.757268,46.589639,Hittin,TER_RUH,4,4.2,Restaurant,False,MED,credit,42955.86,9489.06,Active,2025-06-04,Monday,Morning
CUS_RUH_0007,Al Sulaymaniyah Cafe,24.690975,46.693694,Al Sulaymaniyah,TER_RUH,5,4.8,Cafe,False,MED,cash,0.0,0.0,Active,2021-10-27,Wednesday,Morning
CUS_RUH_0008,Al Shammari Trading Sweets & Bakery,24.761057,46.603037,Hittin,TER_RUH,5,3.2,Bakery,False,LOW,cash,0.0,0.0,Active,2025-05-09,Monday,Afternoon
CUS_RUH_0009,Al Rawabi Hotel Kitchen,24.75747,46.603576,Hittin,TER_RUH,4,3.4,Hotel Kitchen,False,LOW,cash,0.0,0.0,Active,2022-04-13,Monday,Midday
CUS_RUH_0010,Al Noor Sweets & Bakery,24.767831,46.594751,Hittin,TER_RUH,2,3.8,Bakery,False,MED,credit,32198.33,16774.88,Active,2025-09-25,Sunday,Afternoon
CUS_RUH_0011,Al Manar Al Sulaymaniyah Cold Store,24.694424,46.73416,Al Sulaymaniyah,TER_RUH,4,4.0,Cold Store,True,LOW,cash,0.0,0.0,Active,2024-06-20,Saturday,Midday
CUS_RUH_0012,Al Tazaj Fresh Butchery,24.751689,46.612401,Hittin,TER_RUH,3,3.3,Butchery,True,MED,credit,20789.04,13068.88,Active,2026-04-25,Tuesday,Afternoon
CUS_RUH_0013,Al Baraka Restaurant,24.669952,46.710816,Al Malaz,TER_RUH,5,3.3,Restaurant,False,MED,cash,0.0,0.0,Dormant,2023-04-10,Tuesday,Afternoon
CUS_RUH_0014,Al Ghamdi Trading Corner Market,24.669817,46.744251,Al Malaz,TER_RUH,1,4.1,Mini Market,False,LOW,cash,0.0,0.0,Active,2026-01-04,Sunday,Morning
CUS_RUH_0015,Al Waha Fresh Meat,24.710198,46.670867,Olaya,TER_RUH,5,3.2,Butchery,True,HIGH,credit,107791.76,36656.39,New,2022-11-15,Sunday,Afternoon
CUS_RUH_0016,Al Shammari Trading Banquet Kitchen,24.693094,46.70549,Al Sulaymaniyah,TER_RUH,4,4.6,Catering Kitchen,False,MED,credit,35499.08,5115.53,Active,2025-12-06,Wednesday,Afternoon
CUS_RUH_0017,Al Rawabi Baqala,24.67147,46.713252,Al Malaz,TER_RUH,5,4.2,Mini Market,False,MED,cash,0.0,0.0,Active,2023-02-04,Wednesday,Midday
CUS_RUH_0018,Al Anazi Roastery,24.822763,46.621801,Al Yasmin,TER_RUH,3,4.3,Cafe,False,LOW,cash,0.0,0.0,Active,2023-02-05,Tuesday,Afternoon
CUS_RUH_0019,Al Madina Grill,24.72311,46.686145,Olaya,TER_RUH,4,3.5,Restaurant,False,MED,credit,30299.47,7466.14,Active,2025-02-17,Thursday,Afternoon
CUS_RUH_0020,Al Saleh Restaurant,24.697718,46.715306,Al Sulaymaniyah,TER_RUH,5,4.5,Restaurant,False,HIGH,credit,50217.66,5510.83,Active,2023-07-25,Tuesday,Midday
CUS_RUH_0021,Al Malki Grocery,24.662204,46.732799,Al Malaz,TER_RUH,5,3.4,Grocery,False,HIGH,cash,0.0,0.0,Active,2025-04-24,Wednesday,Midday
CUS_RUH_0022,Al Tazaj Fresh Baqala,24.698029,46.684672,Olaya,TER_RUH,5,4.7,Mini Market,False,LOW,cash,0.0,0.0,Active,2023-11-22,Wednesday,Afternoon
CUS_RUH_0023,Al Rashid Hospitality Supplies,24.762789,46.614645,Hittin,TER_RUH,3,4.2,Hotel Kitchen,False,LOW,cash,0.0,0.0,Active,2022-12-18,Wednesday,Midday
CUS_RUH_0024,Al Baraka Corner Market,24.660335,46.739578,Al Malaz,TER_RUH,3,4.8,Mini Market,False,LOW,cash,0.0,0.0,Active,2022-09-15,Tuesday,Afternoon
CUS_RUH_0025,Al Dossari Corner Market,24.667197,46.754489,Al Malaz,TER_RUH,3,2.6,Mini Market,False,LOW,cash,0.0,0.0,New,2023-08-05,Wednesday,Afternoon
CUS_RUH_0026,Al Qahtani Banquet Kitchen,24.720756,46.675679,Olaya,TER_RUH,5,3.8,Catering Kitchen,False,HIGH,credit,30530.65,22698.54,At Risk,2022-12-09,Tuesday,Midday
CUS_RUH_0027,Al Manar Butchery,24.712533,46.649961,Olaya,TER_RUH,5,3.9,Butchery,True,LOW,cash,0.0,0.0,Active,2024-09-23,Wednesday,Afternoon
CUS_RUH_0028,Al Subaie Trading Meat Shop,24.715522,46.692921,Olaya,TER_RUH,5,3.7,Butchery,True,LOW,credit,8002.08,520.82,Active,2021-11-13,Tuesday,Morning
CUS_RUH_0029,Al Rashid Oven,24.754495,46.595977,Hittin,TER_RUH,5,4.5,Bakery,False,MED,credit,12401.64,4181.66,Active,2022-01-19,Wednesday,Morning
CUS_RUH_0030,Al Saleh Trading Bakery,24.830802,46.623627,Al Yasmin,TER_RUH,2,4.3,Bakery,False,MED,credit,31253.66,32120.03,New,2022-07-10,Saturday,Afternoon
CUS_RUH_0031,Al Qassim Cafe,24.668693,46.747104,Al Malaz,TER_RUH,4,3.6,Cafe,False,LOW,cash,0.0,0.0,Active,2023-10-24,Thursday,Midday
CUS_RUH_0032,Al Nada Fresh Bakery,24.70781,46.669739,Olaya,TER_RUH,4,3.2,Bakery,False,LOW,credit,7460.76,3743.31,Active,2024-06-05,Tuesday,Midday
CUS_RUH_0033,Al Malki Trading Catering Kitchen,24.830435,46.633439,Al Yasmin,TER_RUH,5,4.0,Catering Kitchen,False,LOW,cash,0.0,0.0,At Risk,2024-01-06,Wednesday,Afternoon
CUS_RUH_0034,Al Qassim Fresh Cold Store,24.824458,46.612638,Al Yasmin,TER_RUH,3,3.8,Cold Store,True,LOW,cash,0.0,0.0,Active,2024-10-01,Thursday,Midday
CUS_RUH_0035,Al Rashid Restaurant,24.759741,46.59225,Hittin,TER_RUH,4,3.9,Restaurant,False,HIGH,credit,94806.72,18636.47,Active,2024-09-02,Monday,Midday
CUS_RUH_0036,Al Madina Fresh Meat Shop,24.76815,46.625592,Hittin,TER_RUH,4,4.1,Butchery,True,LOW,cash,0.0,0.0,Active,2022-09-14,Saturday,Afternoon
CUS_RUH_0037,Al Saleh Trading Hotel Kitchen,24.6705,46.734177,Al Malaz,TER_RUH,4,2.9,Hotel Kitchen,False,LOW,cash,0.0,0.0,Active,2024-09-18,Wednesday,Afternoon
CUS_RUH_0038,Al Khaleej Restaurant,24.700901,46.711947,Al Sulaymaniyah,TER_RUH,4,5.0,Restaurant,False,MED,credit,22630.84,18577.82,Churned,2025-04-27,Sunday,Afternoon
CUS_RUH_0039,Al Madina Baqala,24.824934,46.633942,Al Yasmin,TER_RUH,4,4.0,Grocery,False,LOW,cash,0.0,0.0,Active,2024-02-02,Saturday,Morning
CUS_RUH_0040,Al Waha Fresh Catering Kitchen,24.813939,46.64438,Al Yasmin,TER_RUH,2,4.4,Catering Kitchen,False,LOW,cash,0.0,0.0,Active,2022-01-27,Wednesday,Midday
CUS_RUH_0041,Al Tazaj Catering Kitchen,24.772508,46.590922,Hittin,TER_RUH,3,4.8,Catering Kitchen,False,HIGH,credit,77031.53,80426.05,Active,2024-12-01,Sunday,Midday
CUS_RUH_0042,Al Rashid Trading Hyper Mini,24.695713,46.681875,Olaya,TER_RUH,3,5.0,Supermarket,False,HIGH,credit,44087.94,7607.61,Active,2022-09-20,Monday,Afternoon
CUS_RUH_0043,Al Jazeera Fresh Kitchen,24.752445,46.595177,Hittin,TER_RUH,3,4.1,Restaurant,False,MED,credit,29059.68,7099.0,New,2024-01-14,Thursday,Midday
CUS_RUH_0044,Al Nada Fresh Hotel Kitchen,24.82143,46.610959,Al Yasmin,TER_RUH,4,4.0,Hotel Kitchen,False,MED,cash,0.0,0.0,Dormant,2021-07-21,Saturday,Morning
CUS_RUH_0045,Al Shammari Baqala,24.751637,46.608073,Hittin,TER_RUH,4,3.5,Grocery,False,MED,cash,0.0,0.0,Active,2025-01-23,Tuesday,Midday
CUS_RUH_0046,Al Zahrani Trading Butchery,24.685054,46.725394,Al Malaz,TER_RUH,4,3.8,Butchery,True,LOW,cash,0.0,0.0,Churned,2025-03-02,Saturday,Morning
CUS_RUH_0047,Al Nakheel Frozen Foods,24.710361,46.695943,Al Sulaymaniyah,TER_RUH,3,4.1,Cold Store,True,HIGH,credit,115067.42,33837.85,Active,2024-06-14,Tuesday,Midday
CUS_RUH_0048,Al Shammari Sweets & Bakery,24.72622,46.654673,Olaya,TER_RUH,4,4.1,Bakery,False,LOW,cash,0.0,0.0,Active,2022-02-22,Monday,Midday
CUS_RUH_0049,Al Qahtani Trading Banquet Kitchen,24.830027,46.639901,Al Yasmin,TER_RUH,4,3.3,Catering Kitchen,False,HIGH,cash,0.0,0.0,Active,2026-02-16,Saturday,Midday
CUS_RUH_0050,Al Mutairi Trading Market,24.69663,46.68107,Olaya,TER_RUH,4,4.2,Supermarket,False,MED,cash,0.0,0.0,Active,2024-01-22,Sunday,Midday
CUS_RUH_0051,Al Tazaj Fresh Restaurant,24.766421,46.606497,Hittin,TER_RUH,4,3.6,Restaurant,False,MED,cash,0.0,0.0,Active,2026-03-14,Tuesday,Midday
CUS_RUH_0052,Al Harbi Trading Food Store,24.766215,46.605835,Hittin,TER_RUH,3,3.6,Grocery,False,LOW,cash,0.0,0.0,Active,2023-11-30,Wednesday,Midday
CUS_RUH_0053,Al Jazeera Al Sulaymaniyah Hospitality Supplies,24.722211,46.717073,Al Sulaymaniyah,TER_RUH,5,3.3,Hotel Kitchen,False,HIGH,credit,113956.7,35426.92,Active,2025-12-16,Tuesday,Midday
CUS_RUH_0054,Al Rashid Trading Grocery,24.674994,46.723022,Al Malaz,TER_RUH,5,4.4,Grocery,False,MED,credit,43787.38,6550.52,Active,2022-04-11,Saturday,Midday
CUS_RUH_0055,Al Rashid Trading Fresh Meat,24.714247,46.701027,Al Sulaymaniyah,TER_RUH,5,4.5,Butchery,True,LOW,cash,0.0,0.0,Active,2025-06-09,Tuesday,Afternoon
CUS_RUH_0056,Al Manar Fresh Restaurant,24.716148,46.684791,Olaya,TER_RUH,4,5.0,Restaurant,False,HIGH,credit,112883.62,39422.1,Active,2021-09-01,Monday,Morning
CUS_RUH_0057,Al Anazi Trading Fresh Meat,24.698437,46.701857,Al Sulaymaniyah,TER_RUH,5,3.5,Butchery,True,HIGH,credit,77804.97,17099.85,Active,2022-03-19,Sunday,Midday
CUS_RUH_0058,Al Mutairi Baqala,24.692013,46.710244,Al Sulaymaniyah,TER_RUH,4,4.2,Grocery,False,LOW,cash,0.0,0.0,Active,2023-05-07,Wednesday,Midday
CUS_RUH_0059,Al Safa Frozen Foods,24.830216,46.640464,Al Yasmin,TER_RUH,3,4.0,Cold Store,True,LOW,cash,0.0,0.0,New,2024-08-13,Monday,Afternoon
CUS_RUH_0060,Al Manar Roastery,24.717569,46.707919,Al Sulaymaniyah,TER_RUH,1,5.0,Cafe,False,LOW,credit,12790.49,10978.36,Churned,2025-08-03,Tuesday,Midday
CUS_RUH_0061,Al Othman Sweets & Bakery,24.674646,46.724478,Al Malaz,TER_RUH,3,3.4,Bakery,False,LOW,cash,0.0,0.0,Active,2024-12-05,Thursday,Morning
CUS_RUH_0062,Al Rawabi Fresh Grocery,24.706633,46.70843,Al Sulaymaniyah,TER_RUH,4,4.4,Grocery,False,MED,cash,0.0,0.0,At Risk,2022-05-24,Sunday,Morning
CUS_RUH_0063,Al Ghamdi Trading Bakery,24.768929,46.601297,Hittin,TER_RUH,5,3.5,Bakery,False,LOW,cash,0.0,0.0,At Risk,2025-08-05,Monday,Morning
CUS_RUH_0064,Al Malki Trading Market,24.810041,46.62466,Al Yasmin,TER_RUH,3,4.5,Supermarket,False,LOW,cash,0.0,0.0,Dormant,2024-07-14,Monday,Morning
CUS_RUH_0065,Al Manar Fresh Hotel Kitchen,24.829511,46.614743,Al Yasmin,TER_RUH,3,4.1,Hotel Kitchen,False,HIGH,credit,63172.71,17353.76,Active,2022-08-26,Thursday,Morning
CUS_RUH_0066,Al Jazeera Fresh Cafe,24.831439,46.619233,Al Yasmin,TER_RUH,2,4.1,Cafe,False,LOW,cash,0.0,0.0,Dormant,2021-12-15,Sunday,Afternoon
CUS_RUH_0067,Al Dossari Oven,24.668256,46.720936,Al Malaz,TER_RUH,4,4.2,Bakery,False,MED,cash,0.0,0.0,Active,2025-01-30,Saturday,Midday
CUS_RUH_0068,Al Noor Fresh Roastery,24.769915,46.615632,Hittin,TER_RUH,4,4.6,Cafe,False,LOW,credit,6816.89,1247.59,Active,2022-12-16,Sunday,Morning
CUS_RUH_0069,Al Safa Fresh Restaurant,24.811586,46.618563,Al Yasmin,TER_RUH,4,4.3,Restaurant,False,LOW,cash,0.0,0.0,Active,2025-10-27,Wednesday,Morning
CUS_RUH_0070,Al Shehri Hotel Kitchen,24.717286,46.680985,Olaya,TER_RUH,3,5.0,Hotel Kitchen,False,LOW,cash,0.0,0.0,At Risk,2024-10-01,Saturday,Midday
CUS_RUH_0071,Al Zahrani Hotel Kitchen,24.674029,46.749172,Al Malaz,TER_RUH,1,4.5,Hotel Kitchen,False,MED,credit,16107.4,15534.35,Churned,2021-07-01,Sunday,Midday
CUS_RUH_0072,Al Khaleej Olaya Fresh Meat,24.718835,46.670692,Olaya,TER_RUH,4,4.4,Butchery,True,HIGH,credit,97109.87,18729.95,Active,2023-12-24,Thursday,Morning
CUS_RUH_0073,Al Harbi Butchery,24.702797,46.671664,Olaya,TER_RUH,4,3.7,Butchery,True,MED,credit,13778.66,13571.44,Churned,2022-12-14,Wednesday,Afternoon
CUS_RUH_0074,Al Malki Trading Sweets & Bakery,24.764522,46.630906,Hittin,TER_RUH,4,3.0,Bakery,False,LOW,cash,0.0,0.0,Active,2025-05-06,Saturday,Afternoon
CUS_RUH_0075,Al Baraka Fresh Kitchen,24.771328,46.5822,Hittin,TER_RUH,3,3.7,Restaurant,False,MED,credit,41083.19,26276.67,New,2024-01-26,Saturday,Morning
CUS_RUH_0076,Al Shehri Trading Corner Market,24.723763,46.675397,Olaya,TER_RUH,4,3.4,Mini Market,False,HIGH,credit,63538.22,5657.1,Active,2025-06-14,Saturday,Midday
